Time,Mag,Depth_km,Lat,Lon,Remark
1/20/2017 3:53,1.4,8,35.73 N,129.35 E,??? ????? ?????? 17km ????
1/20/2017 10:20,0.6,13,35.79 N,129.20 E,??? ????? ???????? 5km ????
1/20/2017 11:38,0.8,12,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/20/2017 21:24,1.9,16,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/21/2017 12:07,1.4,12,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/21/2017 21:06,0.7,12,35.73 N,129.17 E,??? ????? ???????? 13km ????
1/21/2017 21:17,1.6,17,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/22/2017 4:52,0.8,12,35.75 N,129.17 E,??? ????? ???????? 11km ????
1/22/2017 19:04,1.3,12,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/22/2017 21:30,1.2,13,35.78 N,129.21 E,??? ????? ???? 6km ????
1/23/2017 1:27,1.1,9,35.73 N,129.18 E,??? ????? ???????? 12km ????
1/23/2017 4:17,1.1,12,35.76 N,129.18 E,??? ????? ???????? 9km ????
1/23/2017 6:27,0.8,12,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/24/2017 3:34,1.5,17,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/24/2017 3:59,1.7,17,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/24/2017 4:10,1.4,12,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/24/2017 4:42,0.7,12,35.77 N,129.17 E,??? ????? ???????? 9km ????
1/24/2017 5:08,0.8,12,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/24/2017 5:19,0.3,13,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/24/2017 6:02,1.2,13,35.74 N,129.18 E,??? ????? ???????? 11km ????
1/24/2017 6:41,0.5,12,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/24/2017 12:16,1.4,15,35.76 N,129.20 E,??? ????? ???? 9km ????
1/25/2017 19:40,1.7,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
1/25/2017 21:49,0.8,12,35.75 N,129.18 E,??? ????? ???????? 10km ????
1/26/2017 1:42,0.7,8,35.77 N,129.21 E,??? ????? ???? 8km ????
1/26/2017 3:56,0.9,12,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/27/2017 4:32,1.4,13,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/28/2017 3:44,1.2,13,35.78 N,129.21 E,??? ????? ???? 6km ????
1/28/2017 4:18,1.1,14,35.76 N,129.20 E,??? ????? ???? 9km ????
1/28/2017 4:55,1.2,14,35.77 N,129.19 E,??? ????? ???????? 8km ????
1/28/2017 11:03,1.1,11,35.78 N,129.19 E,??? ????? ???????? 7km ????
1/28/2017 13:05,1.2,12,35.77 N,129.21 E,??? ????? ???? 8km ????
