국내 지진목록 검색결과
번호,발생시각,규모,깊이(km),위도,경도,위치
105,08/25/18 23:04,0.9,8,35.69 N,129.46 E,경북 경주시 남동쪽 28km 지역
104,08/23/18 07:23,1.8,9,35.68 N,129.37 E,경북 경주시 남동쪽 22km 지역
103,08/14/18 07:37,1.4,12,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
102,08/08/18 04:46,0.9,12,35.72 N,129.41 E,경북 경주시 남동쪽 22km 지역
101,08/06/18 23:55,1.1,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
100,08/06/18 01:04,0.6,11,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
99,08/03/18 16:32,0.7,11,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
98,08/01/18 06:33,1.3,13,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
97,07/31/18 13:00,1.3,12,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
96,07/25/18 03:38,0.6,10,35.71 N,129.39 E,경북 경주시 남동쪽 21km 지역
95,07/25/18 03:35,1,13,35.71 N,129.40 E,경북 경주시 남동쪽 22km 지역
94,07/23/18 11:24,1,11,35.71 N,129.40 E,경북 경주시 남동쪽 22km 지역
93,07/23/18 05:21,1.2,12,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
92,07/22/18 10:25,1.2,11,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
91,07/20/18 20:50,0.7,15,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
90,07/19/18 03:13,0.6,12,35.77 N,129.18 E,경북 경주시 남남서쪽 10km 지역
89,07/18/18 21:38,0.4,14,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
88,07/16/18 15:34,0.5,16,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
87,07/10/18 19:38,0.9,14,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
86,07/10/18 00:31,0.6,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
85,07/09/18 15:30,1.8,16,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역
84,07/08/18 23:13,1.2,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
83,07/08/18 06:25,1.3,14,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
82,07/07/18 08:04,1.6,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
81,07/06/18 14:50,1.3,16,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
80,07/04/18 13:19,1.3,12,35.74 N,129.04 E,경북 경주시 남서쪽 19km 지역
79,06/21/18 21:56,1,13,35.80 N,129.41 E,경북 경주시 동남동쪽 18km 지역
78,06/21/18 01:57,0.6,9,35.71 N,129.35 E,경북 경주시 남동쪽 19km 지역
77,06/20/18 15:06,1.2,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
76,06/19/18 12:14,0.6,12,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
75,06/18/18 04:58,0.5,10,35.73 N,129.40 E,경북 경주시 남동쪽 21km 지역
